year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,25,0,0,0
2020,3,12,25,0,0,0
2020,3,13,25,0,0,0
2020,3,14,25,0,0,0
2020,3,15,25,0,0,0
2020,3,16,25,0,0,0
2020,3,17,12,786,3,0
2020,3,18,12,786,3,0
2020,3,19,12,786,3,0
2020,3,20,12,786,3,0
2020,3,21,12,786,3,0
2020,3,22,12,786,3,0
2020,3,23,12,786,3,0
2020,3,24,5,238,4,0
2020,3,25,5,238,4,0
2020,3,26,5,238,4,0
2020,3,27,5,238,4,0
2020,3,28,5,238,4,0
2020,3,29,5,238,4,0
2020,3,30,5,238,4,0
2020,3,31,1,321,4,0
2020,4,1,1,321,4,0
2020,4,2,1,321,4,0
2020,4,3,1,321,4,0
2020,4,4,1,321,4,0
2020,4,5,1,321,4,0
2020,4,6,1,321,4,0
2020,4,7,10,325,14,0
2020,4,8,10,325,14,0
2020,4,9,10,325,14,0
2020,4,10,10,325,14,0
2020,4,11,10,325,14,0
2020,4,12,10,325,14,0
2020,4,13,10,325,14,0
2020,4,14,14,437,4,0
2020,4,15,14,437,4,0
2020,4,16,14,437,4,0
2020,4,17,14,437,4,0
2020,4,18,14,437,4,0
2020,4,19,14,437,4,0
2020,4,20,14,437,4,0
2020,4,21,13,471,3,0
2020,4,22,13,471,3,0
2020,4,23,13,471,3,0
2020,4,24,13,471,3,0
2020,4,25,13,471,3,0
2020,4,26,13,471,3,0
2020,4,27,13,471,3,0
2020,4,28,8,466,0,0
2020,4,29,8,466,0,0
2020,4,30,8,466,0,0
2020,5,1,8,466,0,0
2020,5,2,8,466,0,0
2020,5,3,8,466,0,0
2020,5,4,8,466,0,0
2020,5,5,5,358,18,0
2020,5,6,5,358,18,0
2020,5,7,5,358,18,0
2020,5,8,5,358,18,0
2020,5,9,5,358,18,0
2020,5,10,5,358,18,0
2020,5,11,5,358,18,0
2020,5,12,1,360,14,0
2020,5,13,1,360,14,0
2020,5,14,1,360,14,0
2020,5,15,1,360,14,0
2020,5,16,1,360,14,0
2020,5,17,1,360,14,0
2020,5,18,1,360,14,0
2020,5,19,0,268,10,0
2020,5,20,0,268,10,0
2020,5,21,0,268,10,0
2020,5,22,0,268,10,0
2020,5,23,0,268,10,0
2020,5,24,0,268,10,0
2020,5,25,0,268,10,0
2020,5,26,0,150,5,0
2020,5,27,0,150,5,0
2020,5,28,0,150,5,0
2020,5,29,0,150,5,0
2020,5,30,0,150,5,0
2020,5,31,0,150,5,0
2020,6,1,0,150,5,0
2020,6,2,0,212,2,0
2020,6,3,0,212,2,0
2020,6,4,0,212,2,0
2020,6,5,0,212,2,0
2020,6,6,0,212,2,0
2020,6,7,0,212,2,0
2020,6,8,0,212,2,0
2020,6,9,0,203,0,0
2020,6,10,0,203,0,0
2020,6,11,0,203,0,0
2020,6,12,0,203,0,0
2020,6,13,0,203,0,0
2020,6,14,0,203,0,0
2020,6,15,0,203,0,0
2020,6,16,1,169,0,0
2020,6,17,1,169,0,0
2020,6,18,1,169,0,0
2020,6,19,1,169,0,0
2020,6,20,1,169,0,0
2020,6,21,1,169,0,0
2020,6,22,1,169,0,0
2020,6,23,0,149,1,0
2020,6,24,0,149,1,0
2020,6,25,0,149,1,0
2020,6,26,0,149,1,0
2020,6,27,0,149,1,0
2020,6,28,0,149,1,0
2020,6,29,0,149,1,0
2020,6,30,1,185,1,0
2020,7,1,1,185,1,0
2020,7,2,1,185,1,0
2020,7,3,1,185,1,0
2020,7,4,1,185,1,0
2020,7,5,1,185,1,0
2020,7,6,1,185,1,0
2020,7,7,2,207,0,0
2020,7,8,2,207,0,0
2020,7,9,2,207,0,0
2020,7,10,2,207,0,0
2020,7,11,2,207,0,0
2020,7,12,2,207,0,0
2020,7,13,2,207,0,0
2020,7,14,3,411,1,0
2020,7,15,3,411,1,0
2020,7,16,3,411,1,0
2020,7,17,3,411,1,0
2020,7,18,3,411,1,0
2020,7,19,3,411,1,0
2020,7,20,3,411,1,0
