year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,290,0,0
2020,3,12,2,290,0,0
2020,3,13,2,290,0,0
2020,3,14,2,290,0,0
2020,3,15,2,290,0,0
2020,3,16,2,290,0,0
2020,3,17,16,203,1,0
2020,3,18,16,203,1,0
2020,3,19,16,203,1,0
2020,3,20,16,203,1,0
2020,3,21,16,203,1,0
2020,3,22,16,203,1,0
2020,3,23,16,203,1,0
2020,3,24,11,1270,0,0
2020,3,25,11,1270,0,0
2020,3,26,11,1270,0,0
2020,3,27,11,1270,0,0
2020,3,28,11,1270,0,0
2020,3,29,11,1270,0,0
2020,3,30,11,1270,0,0
2020,3,31,4,217,7,0
2020,4,1,4,217,7,0
2020,4,2,4,217,7,0
2020,4,3,4,217,7,0
2020,4,4,4,217,7,0
2020,4,5,4,217,7,0
2020,4,6,4,217,7,0
2020,4,7,11,318,2,0
2020,4,8,11,318,2,0
2020,4,9,11,318,2,0
2020,4,10,11,318,2,0
2020,4,11,11,318,2,0
2020,4,12,11,318,2,0
2020,4,13,11,318,2,0
2020,4,14,12,496,9,1
2020,4,15,12,496,9,1
2020,4,16,12,496,9,1
2020,4,17,12,496,9,1
2020,4,18,12,496,9,1
2020,4,19,12,496,9,1
2020,4,20,12,496,9,1
2020,4,21,5,382,8,0
2020,4,22,5,382,8,0
2020,4,23,5,382,8,0
2020,4,24,5,382,8,0
2020,4,25,5,382,8,0
2020,4,26,5,382,8,0
2020,4,27,5,382,8,0
2020,4,28,0,136,5,0
2020,4,29,0,136,5,0
2020,4,30,0,136,5,0
2020,5,1,0,136,5,0
2020,5,2,0,136,5,0
2020,5,3,0,136,5,0
2020,5,4,0,136,5,0
2020,5,5,0,324,22,0
2020,5,6,0,324,22,0
2020,5,7,0,324,22,0
2020,5,8,0,324,22,0
2020,5,9,0,324,22,0
2020,5,10,0,324,22,0
2020,5,11,0,324,22,0
2020,5,12,0,193,2,0
2020,5,13,0,193,2,0
2020,5,14,0,193,2,0
2020,5,15,0,193,2,0
2020,5,16,0,193,2,0
2020,5,17,0,193,2,0
2020,5,18,0,193,2,0
2020,5,19,0,155,1,0
2020,5,20,0,155,1,0
2020,5,21,0,155,1,0
2020,5,22,0,155,1,0
2020,5,23,0,155,1,0
2020,5,24,0,155,1,0
2020,5,25,0,155,1,0
2020,5,26,0,156,1,0
2020,5,27,0,156,1,0
2020,5,28,0,156,1,0
2020,5,29,0,156,1,0
2020,5,30,0,156,1,0
2020,5,31,0,156,1,0
2020,6,1,0,156,1,0
2020,6,2,0,228,0,0
2020,6,3,0,228,0,0
2020,6,4,0,228,0,0
2020,6,5,0,228,0,0
2020,6,6,0,228,0,0
2020,6,7,0,228,0,0
2020,6,8,0,228,0,0
2020,6,9,0,190,1,0
2020,6,10,0,190,1,0
2020,6,11,0,190,1,0
2020,6,12,0,190,1,0
2020,6,13,0,190,1,0
2020,6,14,0,190,1,0
2020,6,15,0,190,1,0
2020,6,16,0,193,0,0
2020,6,17,0,193,0,0
2020,6,18,0,193,0,0
2020,6,19,0,193,0,0
2020,6,20,0,193,0,0
2020,6,21,0,193,0,0
2020,6,22,0,193,0,0
2020,6,23,0,220,0,0
2020,6,24,0,220,0,0
2020,6,25,0,220,0,0
2020,6,26,0,220,0,0
2020,6,27,0,220,0,0
2020,6,28,0,220,0,0
2020,6,29,0,220,0,0
2020,6,30,0,246,0,0
2020,7,1,0,246,0,0
2020,7,2,0,246,0,0
2020,7,3,0,246,0,0
2020,7,4,0,246,0,0
2020,7,5,0,246,0,0
2020,7,6,0,246,0,0
2020,7,7,0,310,0,0
2020,7,8,0,310,0,0
2020,7,9,0,310,0,0
2020,7,10,0,310,0,0
2020,7,11,0,310,0,0
2020,7,12,0,310,0,0
2020,7,13,0,310,0,0
2020,7,14,0,339,0,0
2020,7,15,0,339,0,0
2020,7,16,0,339,0,0
2020,7,17,0,339,0,0
2020,7,18,0,339,0,0
2020,7,19,0,339,0,0
2020,7,20,0,339,0,0
