year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,285,0,0
2020,3,12,0,285,0,0
2020,3,13,0,285,0,0
2020,3,14,0,285,0,0
2020,3,15,0,285,0,0
2020,3,16,0,285,0,0
2020,3,17,1,46,0,0
2020,3,18,1,46,0,0
2020,3,19,1,46,0,0
2020,3,20,1,46,0,0
2020,3,21,1,46,0,0
2020,3,22,1,46,0,0
2020,3,23,1,46,0,0
2020,3,24,3,103,0,0
2020,3,25,3,103,0,0
2020,3,26,3,103,0,0
2020,3,27,3,103,0,0
2020,3,28,3,103,0,0
2020,3,29,3,103,0,0
2020,3,30,3,103,0,0
2020,3,31,7,170,0,0
2020,4,1,7,170,0,0
2020,4,2,7,170,0,0
2020,4,3,7,170,0,0
2020,4,4,7,170,0,0
2020,4,5,7,170,0,0
2020,4,6,7,170,0,0
2020,4,7,5,190,1,0
2020,4,8,5,190,1,0
2020,4,9,5,190,1,0
2020,4,10,5,190,1,0
2020,4,11,5,190,1,0
2020,4,12,5,190,1,0
2020,4,13,5,190,1,0
2020,4,14,3,261,3,0
2020,4,15,3,261,3,0
2020,4,16,3,261,3,0
2020,4,17,3,261,3,0
2020,4,18,3,261,3,0
2020,4,19,3,261,3,0
2020,4,20,3,261,3,0
2020,4,21,3,199,1,0
2020,4,22,3,199,1,0
2020,4,23,3,199,1,0
2020,4,24,3,199,1,0
2020,4,25,3,199,1,0
2020,4,26,3,199,1,0
2020,4,27,3,199,1,0
2020,4,28,1,2,5,0
2020,4,29,1,2,5,0
2020,4,30,1,2,5,0
2020,5,1,1,2,5,0
2020,5,2,1,2,5,0
2020,5,3,1,2,5,0
2020,5,4,1,2,5,0
2020,5,5,1,246,8,0
2020,5,6,1,246,8,0
2020,5,7,1,246,8,0
2020,5,8,1,246,8,0
2020,5,9,1,246,8,0
2020,5,10,1,246,8,0
2020,5,11,1,246,8,0
2020,5,12,1,183,5,0
2020,5,13,1,183,5,0
2020,5,14,1,183,5,0
2020,5,15,1,183,5,0
2020,5,16,1,183,5,0
2020,5,17,1,183,5,0
2020,5,18,1,183,5,0
2020,5,19,0,86,2,0
2020,5,20,0,86,2,0
2020,5,21,0,86,2,0
2020,5,22,0,86,2,0
2020,5,23,0,86,2,0
2020,5,24,0,86,2,0
2020,5,25,0,86,2,0
2020,5,26,0,63,0,0
2020,5,27,0,63,0,0
2020,5,28,0,63,0,0
2020,5,29,0,63,0,0
2020,5,30,0,63,0,0
2020,5,31,0,63,0,0
2020,6,1,0,63,0,0
2020,6,2,0,65,0,0
2020,6,3,0,65,0,0
2020,6,4,0,65,0,0
2020,6,5,0,65,0,0
2020,6,6,0,65,0,0
2020,6,7,0,65,0,0
2020,6,8,0,65,0,0
2020,6,9,0,59,0,0
2020,6,10,0,59,0,0
2020,6,11,0,59,0,0
2020,6,12,0,59,0,0
2020,6,13,0,59,0,0
2020,6,14,0,59,0,0
2020,6,15,0,59,0,0
2020,6,16,0,32,0,0
2020,6,17,0,32,0,0
2020,6,18,0,32,0,0
2020,6,19,0,32,0,0
2020,6,20,0,32,0,0
2020,6,21,0,32,0,0
2020,6,22,0,32,0,0
2020,6,23,1,61,0,0
2020,6,24,1,61,0,0
2020,6,25,1,61,0,0
2020,6,26,1,61,0,0
2020,6,27,1,61,0,0
2020,6,28,1,61,0,0
2020,6,29,1,61,0,0
2020,6,30,2,62,1,0
2020,7,1,2,62,1,0
2020,7,2,2,62,1,0
2020,7,3,2,62,1,0
2020,7,4,2,62,1,0
2020,7,5,2,62,1,0
2020,7,6,2,62,1,0
2020,7,7,0,58,0,0
2020,7,8,0,58,0,0
2020,7,9,0,58,0,0
2020,7,10,0,58,0,0
2020,7,11,0,58,0,0
2020,7,12,0,58,0,0
2020,7,13,0,58,0,0
2020,7,14,15,323,4,0
2020,7,15,15,323,4,0
2020,7,16,15,323,4,0
2020,7,17,15,323,4,0
2020,7,18,15,323,4,0
2020,7,19,15,323,4,0
2020,7,20,15,323,4,0
