year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,6,400,0,0
2020,3,12,6,400,0,0
2020,3,13,6,400,0,0
2020,3,14,6,400,0,0
2020,3,15,6,400,0,0
2020,3,16,6,400,0,0
2020,3,17,0,53,2,0
2020,3,18,0,53,2,0
2020,3,19,0,53,2,0
2020,3,20,0,53,2,0
2020,3,21,0,53,2,0
2020,3,22,0,53,2,0
2020,3,23,0,53,2,0
2020,3,24,6,69,0,0
2020,3,25,6,69,0,0
2020,3,26,6,69,0,0
2020,3,27,6,69,0,0
2020,3,28,6,69,0,0
2020,3,29,6,69,0,0
2020,3,30,6,69,0,0
2020,3,31,6,148,0,0
2020,4,1,6,148,0,0
2020,4,2,6,148,0,0
2020,4,3,6,148,0,0
2020,4,4,6,148,0,0
2020,4,5,6,148,0,0
2020,4,6,6,148,0,0
2020,4,7,57,336,1,0
2020,4,8,57,336,1,0
2020,4,9,57,336,1,0
2020,4,10,57,336,1,0
2020,4,11,57,336,1,0
2020,4,12,57,336,1,0
2020,4,13,57,336,1,0
2020,4,14,49,476,8,3
2020,4,15,49,476,8,3
2020,4,16,49,476,8,3
2020,4,17,49,476,8,3
2020,4,18,49,476,8,3
2020,4,19,49,476,8,3
2020,4,20,49,476,8,3
2020,4,21,16,604,12,1
2020,4,22,16,604,12,1
2020,4,23,16,604,12,1
2020,4,24,16,604,12,1
2020,4,25,16,604,12,1
2020,4,26,16,604,12,1
2020,4,27,16,604,12,1
2020,4,28,5,315,1,0
2020,4,29,5,315,1,0
2020,4,30,5,315,1,0
2020,5,1,5,315,1,0
2020,5,2,5,315,1,0
2020,5,3,5,315,1,0
2020,5,4,5,315,1,0
2020,5,5,0,300,72,1
2020,5,6,0,300,72,1
2020,5,7,0,300,72,1
2020,5,8,0,300,72,1
2020,5,9,0,300,72,1
2020,5,10,0,300,72,1
2020,5,11,0,300,72,1
2020,5,12,0,224,29,1
2020,5,13,0,224,29,1
2020,5,14,0,224,29,1
2020,5,15,0,224,29,1
2020,5,16,0,224,29,1
2020,5,17,0,224,29,1
2020,5,18,0,224,29,1
2020,5,19,0,91,9,0
2020,5,20,0,91,9,0
2020,5,21,0,91,9,0
2020,5,22,0,91,9,0
2020,5,23,0,91,9,0
2020,5,24,0,91,9,0
2020,5,25,0,91,9,0
2020,5,26,0,44,3,0
2020,5,27,0,44,3,0
2020,5,28,0,44,3,0
2020,5,29,0,44,3,0
2020,5,30,0,44,3,0
2020,5,31,0,44,3,0
2020,6,1,0,44,3,0
2020,6,2,0,38,0,1
2020,6,3,0,38,0,1
2020,6,4,0,38,0,1
2020,6,5,0,38,0,1
2020,6,6,0,38,0,1
2020,6,7,0,38,0,1
2020,6,8,0,38,0,1
2020,6,9,0,54,2,0
2020,6,10,0,54,2,0
2020,6,11,0,54,2,0
2020,6,12,0,54,2,0
2020,6,13,0,54,2,0
2020,6,14,0,54,2,0
2020,6,15,0,54,2,0
2020,6,16,0,38,0,0
2020,6,17,0,38,0,0
2020,6,18,0,38,0,0
2020,6,19,0,38,0,0
2020,6,20,0,38,0,0
2020,6,21,0,38,0,0
2020,6,22,0,38,0,0
2020,6,23,0,16,0,0
2020,6,24,0,16,0,0
2020,6,25,0,16,0,0
2020,6,26,0,16,0,0
2020,6,27,0,16,0,0
2020,6,28,0,16,0,0
2020,6,29,0,16,0,0
2020,6,30,0,31,0,0
2020,7,1,0,31,0,0
2020,7,2,0,31,0,0
2020,7,3,0,31,0,0
2020,7,4,0,31,0,0
2020,7,5,0,31,0,0
2020,7,6,0,31,0,0
2020,7,7,6,130,0,0
2020,7,8,6,130,0,0
2020,7,9,6,130,0,0
2020,7,10,6,130,0,0
2020,7,11,6,130,0,0
2020,7,12,6,130,0,0
2020,7,13,6,130,0,0
2020,7,14,5,478,3,0
2020,7,15,5,478,3,0
2020,7,16,5,478,3,0
2020,7,17,5,478,3,0
2020,7,18,5,478,3,0
2020,7,19,5,478,3,0
2020,7,20,5,478,3,0
