year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,188,0,0,0
2020,3,12,188,0,0,0
2020,3,13,188,0,0,0
2020,3,14,188,0,0,0
2020,3,15,188,0,0,0
2020,3,16,188,0,0,0
2020,3,17,26,0,27,2
2020,3,18,26,0,27,2
2020,3,19,26,0,27,2
2020,3,20,26,0,27,2
2020,3,21,26,0,27,2
2020,3,22,26,0,27,2
2020,3,23,26,0,27,2
2020,3,24,82,630,21,0
2020,3,25,82,630,21,0
2020,3,26,82,630,21,0
2020,3,27,82,630,21,0
2020,3,28,82,630,21,0
2020,3,29,82,630,21,0
2020,3,30,82,630,21,0
2020,3,31,212,1121,35,1
2020,4,1,212,1121,35,1
2020,4,2,212,1121,35,1
2020,4,3,212,1121,35,1
2020,4,4,212,1121,35,1
2020,4,5,212,1121,35,1
2020,4,6,212,1121,35,1
2020,4,7,407,1322,64,3
2020,4,8,407,1322,64,3
2020,4,9,407,1322,64,3
2020,4,10,407,1322,64,3
2020,4,11,407,1322,64,3
2020,4,12,407,1322,64,3
2020,4,13,407,1322,64,3
2020,4,14,460,1865,86,7
2020,4,15,460,1865,86,7
2020,4,16,460,1865,86,7
2020,4,17,460,1865,86,7
2020,4,18,460,1865,86,7
2020,4,19,460,1865,86,7
2020,4,20,460,1865,86,7
2020,4,21,226,2442,27,19
2020,4,22,226,2442,27,19
2020,4,23,226,2442,27,19
2020,4,24,226,2442,27,19
2020,4,25,226,2442,27,19
2020,4,26,226,2442,27,19
2020,4,27,226,2442,27,19
2020,4,28,158,5112,316,20
2020,4,29,158,5112,316,20
2020,4,30,158,5112,316,20
2020,5,1,158,5112,316,20
2020,5,2,158,5112,316,20
2020,5,3,158,5112,316,20
2020,5,4,158,5112,316,20
2020,5,5,65,4816,492,9
2020,5,6,65,4816,492,9
2020,5,7,65,4816,492,9
2020,5,8,65,4816,492,9
2020,5,9,65,4816,492,9
2020,5,10,65,4816,492,9
2020,5,11,65,4816,492,9
2020,5,12,27,8675,226,9
2020,5,13,27,8675,226,9
2020,5,14,27,8675,226,9
2020,5,15,27,8675,226,9
2020,5,16,27,8675,226,9
2020,5,17,27,8675,226,9
2020,5,18,27,8675,226,9
2020,5,19,10,3023,186,8
2020,5,20,10,3023,186,8
2020,5,21,10,3023,186,8
2020,5,22,10,3023,186,8
2020,5,23,10,3023,186,8
2020,5,24,10,3023,186,8
2020,5,25,10,3023,186,8
2020,5,26,2,2270,114,5
2020,5,27,2,2270,114,5
2020,5,28,2,2270,114,5
2020,5,29,2,2270,114,5
2020,5,30,2,2270,114,5
2020,5,31,2,2270,114,5
2020,6,1,2,2270,114,5
2020,6,2,1,1997,34,1
2020,6,3,1,1997,34,1
2020,6,4,1,1997,34,1
2020,6,5,1,1997,34,1
2020,6,6,1,1997,34,1
2020,6,7,1,1997,34,1
2020,6,8,1,1997,34,1
2020,6,9,2,1903,40,1
2020,6,10,2,1903,40,1
2020,6,11,2,1903,40,1
2020,6,12,2,1903,40,1
2020,6,13,2,1903,40,1
2020,6,14,2,1903,40,1
2020,6,15,2,1903,40,1
2020,6,16,20,2374,13,1
2020,6,17,20,2374,13,1
2020,6,18,20,2374,13,1
2020,6,19,20,2374,13,1
2020,6,20,20,2374,13,1
2020,6,21,20,2374,13,1
2020,6,22,20,2374,13,1
2020,6,23,22,2420,24,0
2020,6,24,22,2420,24,0
2020,6,25,22,2420,24,0
2020,6,26,22,2420,24,0
2020,6,27,22,2420,24,0
2020,6,28,22,2420,24,0
2020,6,29,22,2420,24,0
2020,6,30,65,3349,25,0
2020,7,1,65,3349,25,0
2020,7,2,65,3349,25,0
2020,7,3,65,3349,25,0
2020,7,4,65,3349,25,0
2020,7,5,65,3349,25,0
2020,7,6,65,3349,25,0
2020,7,7,152,2793,76,0
2020,7,8,152,2793,76,0
2020,7,9,152,2793,76,0
2020,7,10,152,2793,76,0
2020,7,11,152,2793,76,0
2020,7,12,152,2793,76,0
2020,7,13,152,2793,76,0
2020,7,14,424,8817,125,0
2020,7,15,424,8817,125,0
2020,7,16,424,8817,125,0
2020,7,17,424,8817,125,0
2020,7,18,424,8817,125,0
2020,7,19,424,8817,125,0
2020,7,20,424,8817,125,0
