year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,129,0,0
2020,3,12,1,129,0,0
2020,3,13,1,129,0,0
2020,3,14,1,129,0,0
2020,3,15,1,129,0,0
2020,3,16,1,129,0,0
2020,3,17,0,29,0,0
2020,3,18,0,29,0,0
2020,3,19,0,29,0,0
2020,3,20,0,29,0,0
2020,3,21,0,29,0,0
2020,3,22,0,29,0,0
2020,3,23,0,29,0,0
2020,3,24,0,26,0,0
2020,3,25,0,26,0,0
2020,3,26,0,26,0,0
2020,3,27,0,26,0,0
2020,3,28,0,26,0,0
2020,3,29,0,26,0,0
2020,3,30,0,26,0,0
2020,3,31,7,86,1,0
2020,4,1,7,86,1,0
2020,4,2,7,86,1,0
2020,4,3,7,86,1,0
2020,4,4,7,86,1,0
2020,4,5,7,86,1,0
2020,4,6,7,86,1,0
2020,4,7,5,182,0,0
2020,4,8,5,182,0,0
2020,4,9,5,182,0,0
2020,4,10,5,182,0,0
2020,4,11,5,182,0,0
2020,4,12,5,182,0,0
2020,4,13,5,182,0,0
2020,4,14,4,182,0,0
2020,4,15,4,182,0,0
2020,4,16,4,182,0,0
2020,4,17,4,182,0,0
2020,4,18,4,182,0,0
2020,4,19,4,182,0,0
2020,4,20,4,182,0,0
2020,4,21,19,325,5,0
2020,4,22,19,325,5,0
2020,4,23,19,325,5,0
2020,4,24,19,325,5,0
2020,4,25,19,325,5,0
2020,4,26,19,325,5,0
2020,4,27,19,325,5,0
2020,4,28,8,165,4,0
2020,4,29,8,165,4,0
2020,4,30,8,165,4,0
2020,5,1,8,165,4,0
2020,5,2,8,165,4,0
2020,5,3,8,165,4,0
2020,5,4,8,165,4,0
2020,5,5,1,158,13,0
2020,5,6,1,158,13,0
2020,5,7,1,158,13,0
2020,5,8,1,158,13,0
2020,5,9,1,158,13,0
2020,5,10,1,158,13,0
2020,5,11,1,158,13,0
2020,5,12,2,85,7,0
2020,5,13,2,85,7,0
2020,5,14,2,85,7,0
2020,5,15,2,85,7,0
2020,5,16,2,85,7,0
2020,5,17,2,85,7,0
2020,5,18,2,85,7,0
2020,5,19,0,57,4,0
2020,5,20,0,57,4,0
2020,5,21,0,57,4,0
2020,5,22,0,57,4,0
2020,5,23,0,57,4,0
2020,5,24,0,57,4,0
2020,5,25,0,57,4,0
2020,5,26,0,41,8,0
2020,5,27,0,41,8,0
2020,5,28,0,41,8,0
2020,5,29,0,41,8,0
2020,5,30,0,41,8,0
2020,5,31,0,41,8,0
2020,6,1,0,41,8,0
2020,6,2,0,69,3,0
2020,6,3,0,69,3,0
2020,6,4,0,69,3,0
2020,6,5,0,69,3,0
2020,6,6,0,69,3,0
2020,6,7,0,69,3,0
2020,6,8,0,69,3,0
2020,6,9,0,72,2,0
2020,6,10,0,72,2,0
2020,6,11,0,72,2,0
2020,6,12,0,72,2,0
2020,6,13,0,72,2,0
2020,6,14,0,72,2,0
2020,6,15,0,72,2,0
2020,6,16,0,36,0,0
2020,6,17,0,36,0,0
2020,6,18,0,36,0,0
2020,6,19,0,36,0,0
2020,6,20,0,36,0,0
2020,6,21,0,36,0,0
2020,6,22,0,36,0,0
2020,6,23,0,23,0,0
2020,6,24,0,23,0,0
2020,6,25,0,23,0,0
2020,6,26,0,23,0,0
2020,6,27,0,23,0,0
2020,6,28,0,23,0,0
2020,6,29,0,23,0,0
2020,6,30,0,50,0,0
2020,7,1,0,50,0,0
2020,7,2,0,50,0,0
2020,7,3,0,50,0,0
2020,7,4,0,50,0,0
2020,7,5,0,50,0,0
2020,7,6,0,50,0,0
2020,7,7,0,35,0,0
2020,7,8,0,35,0,0
2020,7,9,0,35,0,0
2020,7,10,0,35,0,0
2020,7,11,0,35,0,0
2020,7,12,0,35,0,0
2020,7,13,0,35,0,0
2020,7,14,1,86,0,0
2020,7,15,1,86,0,0
2020,7,16,1,86,0,0
2020,7,17,1,86,0,0
2020,7,18,1,86,0,0
2020,7,19,1,86,0,0
2020,7,20,1,86,0,0
