year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,40,848,0,0
2020,3,12,40,848,0,0
2020,3,13,40,848,0,0
2020,3,14,40,848,0,0
2020,3,15,40,848,0,0
2020,3,16,40,848,0,0
2020,3,17,23,291,11,1
2020,3,18,23,291,11,1
2020,3,19,23,291,11,1
2020,3,20,23,291,11,1
2020,3,21,23,291,11,1
2020,3,22,23,291,11,1
2020,3,23,23,291,11,1
2020,3,24,33,374,4,2
2020,3,25,33,374,4,2
2020,3,26,33,374,4,2
2020,3,27,33,374,4,2
2020,3,28,33,374,4,2
2020,3,29,33,374,4,2
2020,3,30,33,374,4,2
2020,3,31,111,398,8,1
2020,4,1,111,398,8,1
2020,4,2,111,398,8,1
2020,4,3,111,398,8,1
2020,4,4,111,398,8,1
2020,4,5,111,398,8,1
2020,4,6,111,398,8,1
2020,4,7,219,768,3,1
2020,4,8,219,768,3,1
2020,4,9,219,768,3,1
2020,4,10,219,768,3,1
2020,4,11,219,768,3,1
2020,4,12,219,768,3,1
2020,4,13,219,768,3,1
2020,4,14,248,2317,6,4
2020,4,15,248,2317,6,4
2020,4,16,248,2317,6,4
2020,4,17,248,2317,6,4
2020,4,18,248,2317,6,4
2020,4,19,248,2317,6,4
2020,4,20,248,2317,6,4
2020,4,21,161,1636,10,6
2020,4,22,161,1636,10,6
2020,4,23,161,1636,10,6
2020,4,24,161,1636,10,6
2020,4,25,161,1636,10,6
2020,4,26,161,1636,10,6
2020,4,27,161,1636,10,6
2020,4,28,65,2571,12,11
2020,4,29,65,2571,12,11
2020,4,30,65,2571,12,11
2020,5,1,65,2571,12,11
2020,5,2,65,2571,12,11
2020,5,3,65,2571,12,11
2020,5,4,65,2571,12,11
2020,5,5,81,3945,562,16
2020,5,6,81,3945,562,16
2020,5,7,81,3945,562,16
2020,5,8,81,3945,562,16
2020,5,9,81,3945,562,16
2020,5,10,81,3945,562,16
2020,5,11,81,3945,562,16
2020,5,12,22,3393,147,4
2020,5,13,22,3393,147,4
2020,5,14,22,3393,147,4
2020,5,15,22,3393,147,4
2020,5,16,22,3393,147,4
2020,5,17,22,3393,147,4
2020,5,18,22,3393,147,4
2020,5,19,8,2409,102,1
2020,5,20,8,2409,102,1
2020,5,21,8,2409,102,1
2020,5,22,8,2409,102,1
2020,5,23,8,2409,102,1
2020,5,24,8,2409,102,1
2020,5,25,8,2409,102,1
2020,5,26,4,2247,31,1
2020,5,27,4,2247,31,1
2020,5,28,4,2247,31,1
2020,5,29,4,2247,31,1
2020,5,30,4,2247,31,1
2020,5,31,4,2247,31,1
2020,6,1,4,2247,31,1
2020,6,2,4,2944,24,3
2020,6,3,4,2944,24,3
2020,6,4,4,2944,24,3
2020,6,5,4,2944,24,3
2020,6,6,4,2944,24,3
2020,6,7,4,2944,24,3
2020,6,8,4,2944,24,3
2020,6,9,14,3338,27,1
2020,6,10,14,3338,27,1
2020,6,11,14,3338,27,1
2020,6,12,14,3338,27,1
2020,6,13,14,3338,27,1
2020,6,14,14,3338,27,1
2020,6,15,14,3338,27,1
2020,6,16,21,3617,-6,13
2020,6,17,21,3617,-6,13
2020,6,18,21,3617,-6,13
2020,6,19,21,3617,-6,13
2020,6,20,21,3617,-6,13
2020,6,21,21,3617,-6,13
2020,6,22,21,3617,-6,13
2020,6,23,80,3153,13,0
2020,6,24,80,3153,13,0
2020,6,25,80,3153,13,0
2020,6,26,80,3153,13,0
2020,6,27,80,3153,13,0
2020,6,28,80,3153,13,0
2020,6,29,80,3153,13,0
2020,6,30,133,4517,53,1
2020,7,1,133,4517,53,1
2020,7,2,133,4517,53,1
2020,7,3,133,4517,53,1
2020,7,4,133,4517,53,1
2020,7,5,133,4517,53,1
2020,7,6,133,4517,53,1
2020,7,7,233,5421,96,1
2020,7,8,233,5421,96,1
2020,7,9,233,5421,96,1
2020,7,10,233,5421,96,1
2020,7,11,233,5421,96,1
2020,7,12,233,5421,96,1
2020,7,13,233,5421,96,1
2020,7,14,295,8070,189,2
2020,7,15,295,8070,189,2
2020,7,16,295,8070,189,2
2020,7,17,295,8070,189,2
2020,7,18,295,8070,189,2
2020,7,19,295,8070,189,2
2020,7,20,295,8070,189,2
