year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,4,195,0,0
2020,3,12,4,195,0,0
2020,3,13,4,195,0,0
2020,3,14,4,195,0,0
2020,3,15,4,195,0,0
2020,3,16,4,195,0,0
2020,3,17,2,61,1,0
2020,3,18,2,61,1,0
2020,3,19,2,61,1,0
2020,3,20,2,61,1,0
2020,3,21,2,61,1,0
2020,3,22,2,61,1,0
2020,3,23,2,61,1,0
2020,3,24,1,49,0,0
2020,3,25,1,49,0,0
2020,3,26,1,49,0,0
2020,3,27,1,49,0,0
2020,3,28,1,49,0,0
2020,3,29,1,49,0,0
2020,3,30,1,49,0,0
2020,3,31,12,117,2,0
2020,4,1,12,117,2,0
2020,4,2,12,117,2,0
2020,4,3,12,117,2,0
2020,4,4,12,117,2,0
2020,4,5,12,117,2,0
2020,4,6,12,117,2,0
2020,4,7,22,218,2,0
2020,4,8,22,218,2,0
2020,4,9,22,218,2,0
2020,4,10,22,218,2,0
2020,4,11,22,218,2,0
2020,4,12,22,218,2,0
2020,4,13,22,218,2,0
2020,4,14,32,224,8,1
2020,4,15,32,224,8,1
2020,4,16,32,224,8,1
2020,4,17,32,224,8,1
2020,4,18,32,224,8,1
2020,4,19,32,224,8,1
2020,4,20,32,224,8,1
2020,4,21,22,433,9,0
2020,4,22,22,433,9,0
2020,4,23,22,433,9,0
2020,4,24,22,433,9,0
2020,4,25,22,433,9,0
2020,4,26,22,433,9,0
2020,4,27,22,433,9,0
2020,4,28,2,105,13,0
2020,4,29,2,105,13,0
2020,4,30,2,105,13,0
2020,5,1,2,105,13,0
2020,5,2,2,105,13,0
2020,5,3,2,105,13,0
2020,5,4,2,105,13,0
2020,5,5,1,148,32,0
2020,5,6,1,148,32,0
2020,5,7,1,148,32,0
2020,5,8,1,148,32,0
2020,5,9,1,148,32,0
2020,5,10,1,148,32,0
2020,5,11,1,148,32,0
2020,5,12,2,137,12,0
2020,5,13,2,137,12,0
2020,5,14,2,137,12,0
2020,5,15,2,137,12,0
2020,5,16,2,137,12,0
2020,5,17,2,137,12,0
2020,5,18,2,137,12,0
2020,5,19,1,122,10,0
2020,5,20,1,122,10,0
2020,5,21,1,122,10,0
2020,5,22,1,122,10,0
2020,5,23,1,122,10,0
2020,5,24,1,122,10,0
2020,5,25,1,122,10,0
2020,5,26,0,138,2,0
2020,5,27,0,138,2,0
2020,5,28,0,138,2,0
2020,5,29,0,138,2,0
2020,5,30,0,138,2,0
2020,5,31,0,138,2,0
2020,6,1,0,138,2,0
2020,6,2,0,111,6,0
2020,6,3,0,111,6,0
2020,6,4,0,111,6,0
2020,6,5,0,111,6,0
2020,6,6,0,111,6,0
2020,6,7,0,111,6,0
2020,6,8,0,111,6,0
2020,6,9,0,121,1,0
2020,6,10,0,121,1,0
2020,6,11,0,121,1,0
2020,6,12,0,121,1,0
2020,6,13,0,121,1,0
2020,6,14,0,121,1,0
2020,6,15,0,121,1,0
2020,6,16,1,148,0,0
2020,6,17,1,148,0,0
2020,6,18,1,148,0,0
2020,6,19,1,148,0,0
2020,6,20,1,148,0,0
2020,6,21,1,148,0,0
2020,6,22,1,148,0,0
2020,6,23,0,106,1,0
2020,6,24,0,106,1,0
2020,6,25,0,106,1,0
2020,6,26,0,106,1,0
2020,6,27,0,106,1,0
2020,6,28,0,106,1,0
2020,6,29,0,106,1,0
2020,6,30,2,182,0,0
2020,7,1,2,182,0,0
2020,7,2,2,182,0,0
2020,7,3,2,182,0,0
2020,7,4,2,182,0,0
2020,7,5,2,182,0,0
2020,7,6,2,182,0,0
2020,7,7,3,215,1,0
2020,7,8,3,215,1,0
2020,7,9,3,215,1,0
2020,7,10,3,215,1,0
2020,7,11,3,215,1,0
2020,7,12,3,215,1,0
2020,7,13,3,215,1,0
2020,7,14,5,568,3,0
2020,7,15,5,568,3,0
2020,7,16,5,568,3,0
2020,7,17,5,568,3,0
2020,7,18,5,568,3,0
2020,7,19,5,568,3,0
2020,7,20,5,568,3,0
