year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,146,0,0
2020,3,12,0,146,0,0
2020,3,13,0,146,0,0
2020,3,14,0,146,0,0
2020,3,15,0,146,0,0
2020,3,16,0,146,0,0
2020,3,17,0,19,0,0
2020,3,18,0,19,0,0
2020,3,19,0,19,0,0
2020,3,20,0,19,0,0
2020,3,21,0,19,0,0
2020,3,22,0,19,0,0
2020,3,23,0,19,0,0
2020,3,24,0,29,0,0
2020,3,25,0,29,0,0
2020,3,26,0,29,0,0
2020,3,27,0,29,0,0
2020,3,28,0,29,0,0
2020,3,29,0,29,0,0
2020,3,30,0,29,0,0
2020,3,31,0,36,0,0
2020,4,1,0,36,0,0
2020,4,2,0,36,0,0
2020,4,3,0,36,0,0
2020,4,4,0,36,0,0
2020,4,5,0,36,0,0
2020,4,6,0,36,0,0
2020,4,7,8,200,0,0
2020,4,8,8,200,0,0
2020,4,9,8,200,0,0
2020,4,10,8,200,0,0
2020,4,11,8,200,0,0
2020,4,12,8,200,0,0
2020,4,13,8,200,0,0
2020,4,14,8,315,0,0
2020,4,15,8,315,0,0
2020,4,16,8,315,0,0
2020,4,17,8,315,0,0
2020,4,18,8,315,0,0
2020,4,19,8,315,0,0
2020,4,20,8,315,0,0
2020,4,21,6,109,2,0
2020,4,22,6,109,2,0
2020,4,23,6,109,2,0
2020,4,24,6,109,2,0
2020,4,25,6,109,2,0
2020,4,26,6,109,2,0
2020,4,27,6,109,2,0
2020,4,28,2,40,5,0
2020,4,29,2,40,5,0
2020,4,30,2,40,5,0
2020,5,1,2,40,5,0
2020,5,2,2,40,5,0
2020,5,3,2,40,5,0
2020,5,4,2,40,5,0
2020,5,5,0,81,5,0
2020,5,6,0,81,5,0
2020,5,7,0,81,5,0
2020,5,8,0,81,5,0
2020,5,9,0,81,5,0
2020,5,10,0,81,5,0
2020,5,11,0,81,5,0
2020,5,12,0,92,4,0
2020,5,13,0,92,4,0
2020,5,14,0,92,4,0
2020,5,15,0,92,4,0
2020,5,16,0,92,4,0
2020,5,17,0,92,4,0
2020,5,18,0,92,4,0
2020,5,19,0,81,4,0
2020,5,20,0,81,4,0
2020,5,21,0,81,4,0
2020,5,22,0,81,4,0
2020,5,23,0,81,4,0
2020,5,24,0,81,4,0
2020,5,25,0,81,4,0
2020,5,26,0,44,2,0
2020,5,27,0,44,2,0
2020,5,28,0,44,2,0
2020,5,29,0,44,2,0
2020,5,30,0,44,2,0
2020,5,31,0,44,2,0
2020,6,1,0,44,2,0
2020,6,2,0,39,1,0
2020,6,3,0,39,1,0
2020,6,4,0,39,1,0
2020,6,5,0,39,1,0
2020,6,6,0,39,1,0
2020,6,7,0,39,1,0
2020,6,8,0,39,1,0
2020,6,9,0,35,0,0
2020,6,10,0,35,0,0
2020,6,11,0,35,0,0
2020,6,12,0,35,0,0
2020,6,13,0,35,0,0
2020,6,14,0,35,0,0
2020,6,15,0,35,0,0
2020,6,16,0,10,0,0
2020,6,17,0,10,0,0
2020,6,18,0,10,0,0
2020,6,19,0,10,0,0
2020,6,20,0,10,0,0
2020,6,21,0,10,0,0
2020,6,22,0,10,0,0
2020,6,23,0,28,0,0
2020,6,24,0,28,0,0
2020,6,25,0,28,0,0
2020,6,26,0,28,0,0
2020,6,27,0,28,0,0
2020,6,28,0,28,0,0
2020,6,29,0,28,0,0
2020,6,30,0,20,1,0
2020,7,1,0,20,1,0
2020,7,2,0,20,1,0
2020,7,3,0,20,1,0
2020,7,4,0,20,1,0
2020,7,5,0,20,1,0
2020,7,6,0,20,1,0
2020,7,7,0,26,0,0
2020,7,8,0,26,0,0
2020,7,9,0,26,0,0
2020,7,10,0,26,0,0
2020,7,11,0,26,0,0
2020,7,12,0,26,0,0
2020,7,13,0,26,0,0
2020,7,14,1,711,0,0
2020,7,15,1,711,0,0
2020,7,16,1,711,0,0
2020,7,17,1,711,0,0
2020,7,18,1,711,0,0
2020,7,19,1,711,0,0
2020,7,20,1,711,0,0
