year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,5,0,0,0
2020,3,12,5,0,0,0
2020,3,13,5,0,0,0
2020,3,14,5,0,0,0
2020,3,15,5,0,0,0
2020,3,16,5,0,0,0
2020,3,17,0,581,1,0
2020,3,18,0,581,1,0
2020,3,19,0,581,1,0
2020,3,20,0,581,1,0
2020,3,21,0,581,1,0
2020,3,22,0,581,1,0
2020,3,23,0,581,1,0
2020,3,24,1,120,1,0
2020,3,25,1,120,1,0
2020,3,26,1,120,1,0
2020,3,27,1,120,1,0
2020,3,28,1,120,1,0
2020,3,29,1,120,1,0
2020,3,30,1,120,1,0
2020,3,31,6,502,1,0
2020,4,1,6,502,1,0
2020,4,2,6,502,1,0
2020,4,3,6,502,1,0
2020,4,4,6,502,1,0
2020,4,5,6,502,1,0
2020,4,6,6,502,1,0
2020,4,7,36,403,0,0
2020,4,8,36,403,0,0
2020,4,9,36,403,0,0
2020,4,10,36,403,0,0
2020,4,11,36,403,0,0
2020,4,12,36,403,0,0
2020,4,13,36,403,0,0
2020,4,14,6,483,5,0
2020,4,15,6,483,5,0
2020,4,16,6,483,5,0
2020,4,17,6,483,5,0
2020,4,18,6,483,5,0
2020,4,19,6,483,5,0
2020,4,20,6,483,5,0
2020,4,21,12,458,5,0
2020,4,22,12,458,5,0
2020,4,23,12,458,5,0
2020,4,24,12,458,5,0
2020,4,25,12,458,5,0
2020,4,26,12,458,5,0
2020,4,27,12,458,5,0
2020,4,28,9,233,11,1
2020,4,29,9,233,11,1
2020,4,30,9,233,11,1
2020,5,1,9,233,11,1
2020,5,2,9,233,11,1
2020,5,3,9,233,11,1
2020,5,4,9,233,11,1
2020,5,5,0,336,33,0
2020,5,6,0,336,33,0
2020,5,7,0,336,33,0
2020,5,8,0,336,33,0
2020,5,9,0,336,33,0
2020,5,10,0,336,33,0
2020,5,11,0,336,33,0
2020,5,12,0,179,13,0
2020,5,13,0,179,13,0
2020,5,14,0,179,13,0
2020,5,15,0,179,13,0
2020,5,16,0,179,13,0
2020,5,17,0,179,13,0
2020,5,18,0,179,13,0
2020,5,19,2,128,0,0
2020,5,20,2,128,0,0
2020,5,21,2,128,0,0
2020,5,22,2,128,0,0
2020,5,23,2,128,0,0
2020,5,24,2,128,0,0
2020,5,25,2,128,0,0
2020,5,26,1,103,3,0
2020,5,27,1,103,3,0
2020,5,28,1,103,3,0
2020,5,29,1,103,3,0
2020,5,30,1,103,3,0
2020,5,31,1,103,3,0
2020,6,1,1,103,3,0
2020,6,2,-1,93,0,0
2020,6,3,-1,93,0,0
2020,6,4,-1,93,0,0
2020,6,5,-1,93,0,0
2020,6,6,-1,93,0,0
2020,6,7,-1,93,0,0
2020,6,8,-1,93,0,0
2020,6,9,2,61,0,0
2020,6,10,2,61,0,0
2020,6,11,2,61,0,0
2020,6,12,2,61,0,0
2020,6,13,2,61,0,0
2020,6,14,2,61,0,0
2020,6,15,2,61,0,0
2020,6,16,3,3371,2,0
2020,6,17,3,3371,2,0
2020,6,18,3,3371,2,0
2020,6,19,3,3371,2,0
2020,6,20,3,3371,2,0
2020,6,21,3,3371,2,0
2020,6,22,3,3371,2,0
2020,6,23,1,397,2,0
2020,6,24,1,397,2,0
2020,6,25,1,397,2,0
2020,6,26,1,397,2,0
2020,6,27,1,397,2,0
2020,6,28,1,397,2,0
2020,6,29,1,397,2,0
2020,6,30,5,592,4,0
2020,7,1,5,592,4,0
2020,7,2,5,592,4,0
2020,7,3,5,592,4,0
2020,7,4,5,592,4,0
2020,7,5,5,592,4,0
2020,7,6,5,592,4,0
2020,7,7,8,893,1,0
2020,7,8,8,893,1,0
2020,7,9,8,893,1,0
2020,7,10,8,893,1,0
2020,7,11,8,893,1,0
2020,7,12,8,893,1,0
2020,7,13,8,893,1,0
2020,7,14,15,675,6,0
2020,7,15,15,675,6,0
2020,7,16,15,675,6,0
2020,7,17,15,675,6,0
2020,7,18,15,675,6,0
2020,7,19,15,675,6,0
2020,7,20,15,675,6,0
