year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,4,391,0,0
2020,3,12,4,391,0,0
2020,3,13,4,391,0,0
2020,3,14,4,391,0,0
2020,3,15,4,391,0,0
2020,3,16,4,391,0,0
2020,3,17,2,76,2,0
2020,3,18,2,76,2,0
2020,3,19,2,76,2,0
2020,3,20,2,76,2,0
2020,3,21,2,76,2,0
2020,3,22,2,76,2,0
2020,3,23,2,76,2,0
2020,3,24,8,142,0,0
2020,3,25,8,142,0,0
2020,3,26,8,142,0,0
2020,3,27,8,142,0,0
2020,3,28,8,142,0,0
2020,3,29,8,142,0,0
2020,3,30,8,142,0,0
2020,3,31,2,320,1,0
2020,4,1,2,320,1,0
2020,4,2,2,320,1,0
2020,4,3,2,320,1,0
2020,4,4,2,320,1,0
2020,4,5,2,320,1,0
2020,4,6,2,320,1,0
2020,4,7,22,323,4,0
2020,4,8,22,323,4,0
2020,4,9,22,323,4,0
2020,4,10,22,323,4,0
2020,4,11,22,323,4,0
2020,4,12,22,323,4,0
2020,4,13,22,323,4,0
2020,4,14,13,399,1,0
2020,4,15,13,399,1,0
2020,4,16,13,399,1,0
2020,4,17,13,399,1,0
2020,4,18,13,399,1,0
2020,4,19,13,399,1,0
2020,4,20,13,399,1,0
2020,4,21,5,345,5,0
2020,4,22,5,345,5,0
2020,4,23,5,345,5,0
2020,4,24,5,345,5,0
2020,4,25,5,345,5,0
2020,4,26,5,345,5,0
2020,4,27,5,345,5,0
2020,4,28,0,189,9,0
2020,4,29,0,189,9,0
2020,4,30,0,189,9,0
2020,5,1,0,189,9,0
2020,5,2,0,189,9,0
2020,5,3,0,189,9,0
2020,5,4,0,189,9,0
2020,5,5,2,520,10,0
2020,5,6,2,520,10,0
2020,5,7,2,520,10,0
2020,5,8,2,520,10,0
2020,5,9,2,520,10,0
2020,5,10,2,520,10,0
2020,5,11,2,520,10,0
2020,5,12,4,380,8,0
2020,5,13,4,380,8,0
2020,5,14,4,380,8,0
2020,5,15,4,380,8,0
2020,5,16,4,380,8,0
2020,5,17,4,380,8,0
2020,5,18,4,380,8,0
2020,5,19,5,550,7,0
2020,5,20,5,550,7,0
2020,5,21,5,550,7,0
2020,5,22,5,550,7,0
2020,5,23,5,550,7,0
2020,5,24,5,550,7,0
2020,5,25,5,550,7,0
2020,5,26,0,444,6,0
2020,5,27,0,444,6,0
2020,5,28,0,444,6,0
2020,5,29,0,444,6,0
2020,5,30,0,444,6,0
2020,5,31,0,444,6,0
2020,6,1,0,444,6,0
2020,6,2,1,977,8,0
2020,6,3,1,977,8,0
2020,6,4,1,977,8,0
2020,6,5,1,977,8,0
2020,6,6,1,977,8,0
2020,6,7,1,977,8,0
2020,6,8,1,977,8,0
2020,6,9,0,634,4,0
2020,6,10,0,634,4,0
2020,6,11,0,634,4,0
2020,6,12,0,634,4,0
2020,6,13,0,634,4,0
2020,6,14,0,634,4,0
2020,6,15,0,634,4,0
2020,6,16,0,721,0,0
2020,6,17,0,721,0,0
2020,6,18,0,721,0,0
2020,6,19,0,721,0,0
2020,6,20,0,721,0,0
2020,6,21,0,721,0,0
2020,6,22,0,721,0,0
2020,6,23,10,777,0,0
2020,6,24,10,777,0,0
2020,6,25,10,777,0,0
2020,6,26,10,777,0,0
2020,6,27,10,777,0,0
2020,6,28,10,777,0,0
2020,6,29,10,777,0,0
2020,6,30,11,1047,2,0
2020,7,1,11,1047,2,0
2020,7,2,11,1047,2,0
2020,7,3,11,1047,2,0
2020,7,4,11,1047,2,0
2020,7,5,11,1047,2,0
2020,7,6,11,1047,2,0
2020,7,7,8,1236,15,0
2020,7,8,8,1236,15,0
2020,7,9,8,1236,15,0
2020,7,10,8,1236,15,0
2020,7,11,8,1236,15,0
2020,7,12,8,1236,15,0
2020,7,13,8,1236,15,0
2020,7,14,38,1635,8,0
2020,7,15,38,1635,8,0
2020,7,16,38,1635,8,0
2020,7,17,38,1635,8,0
2020,7,18,38,1635,8,0
2020,7,19,38,1635,8,0
2020,7,20,38,1635,8,0
