year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,135,0,0
2020,3,12,2,135,0,0
2020,3,13,2,135,0,0
2020,3,14,2,135,0,0
2020,3,15,2,135,0,0
2020,3,16,2,135,0,0
2020,3,17,0,20,0,0
2020,3,18,0,20,0,0
2020,3,19,0,20,0,0
2020,3,20,0,20,0,0
2020,3,21,0,20,0,0
2020,3,22,0,20,0,0
2020,3,23,0,20,0,0
2020,3,24,0,30,1,0
2020,3,25,0,30,1,0
2020,3,26,0,30,1,0
2020,3,27,0,30,1,0
2020,3,28,0,30,1,0
2020,3,29,0,30,1,0
2020,3,30,0,30,1,0
2020,3,31,2,51,0,0
2020,4,1,2,51,0,0
2020,4,2,2,51,0,0
2020,4,3,2,51,0,0
2020,4,4,2,51,0,0
2020,4,5,2,51,0,0
2020,4,6,2,51,0,0
2020,4,7,0,62,2,0
2020,4,8,0,62,2,0
2020,4,9,0,62,2,0
2020,4,10,0,62,2,0
2020,4,11,0,62,2,0
2020,4,12,0,62,2,0
2020,4,13,0,62,2,0
2020,4,14,0,100,0,0
2020,4,15,0,100,0,0
2020,4,16,0,100,0,0
2020,4,17,0,100,0,0
2020,4,18,0,100,0,0
2020,4,19,0,100,0,0
2020,4,20,0,100,0,0
2020,4,21,2,87,0,0
2020,4,22,2,87,0,0
2020,4,23,2,87,0,0
2020,4,24,2,87,0,0
2020,4,25,2,87,0,0
2020,4,26,2,87,0,0
2020,4,27,2,87,0,0
2020,4,28,0,46,0,1
2020,4,29,0,46,0,1
2020,4,30,0,46,0,1
2020,5,1,0,46,0,1
2020,5,2,0,46,0,1
2020,5,3,0,46,0,1
2020,5,4,0,46,0,1
2020,5,5,0,142,0,0
2020,5,6,0,142,0,0
2020,5,7,0,142,0,0
2020,5,8,0,142,0,0
2020,5,9,0,142,0,0
2020,5,10,0,142,0,0
2020,5,11,0,142,0,0
2020,5,12,0,62,1,0
2020,5,13,0,62,1,0
2020,5,14,0,62,1,0
2020,5,15,0,62,1,0
2020,5,16,0,62,1,0
2020,5,17,0,62,1,0
2020,5,18,0,62,1,0
2020,5,19,0,35,0,0
2020,5,20,0,35,0,0
2020,5,21,0,35,0,0
2020,5,22,0,35,0,0
2020,5,23,0,35,0,0
2020,5,24,0,35,0,0
2020,5,25,0,35,0,0
2020,5,26,0,36,0,0
2020,5,27,0,36,0,0
2020,5,28,0,36,0,0
2020,5,29,0,36,0,0
2020,5,30,0,36,0,0
2020,5,31,0,36,0,0
2020,6,1,0,36,0,0
2020,6,2,0,38,0,0
2020,6,3,0,38,0,0
2020,6,4,0,38,0,0
2020,6,5,0,38,0,0
2020,6,6,0,38,0,0
2020,6,7,0,38,0,0
2020,6,8,0,38,0,0
2020,6,9,0,42,0,0
2020,6,10,0,42,0,0
2020,6,11,0,42,0,0
2020,6,12,0,42,0,0
2020,6,13,0,42,0,0
2020,6,14,0,42,0,0
2020,6,15,0,42,0,0
2020,6,16,0,21,0,0
2020,6,17,0,21,0,0
2020,6,18,0,21,0,0
2020,6,19,0,21,0,0
2020,6,20,0,21,0,0
2020,6,21,0,21,0,0
2020,6,22,0,21,0,0
2020,6,23,1,55,0,0
2020,6,24,1,55,0,0
2020,6,25,1,55,0,0
2020,6,26,1,55,0,0
2020,6,27,1,55,0,0
2020,6,28,1,55,0,0
2020,6,29,1,55,0,0
2020,6,30,0,60,0,0
2020,7,1,0,60,0,0
2020,7,2,0,60,0,0
2020,7,3,0,60,0,0
2020,7,4,0,60,0,0
2020,7,5,0,60,0,0
2020,7,6,0,60,0,0
2020,7,7,4,240,0,0
2020,7,8,4,240,0,0
2020,7,9,4,240,0,0
2020,7,10,4,240,0,0
2020,7,11,4,240,0,0
2020,7,12,4,240,0,0
2020,7,13,4,240,0,0
2020,7,14,0,230,0,0
2020,7,15,0,230,0,0
2020,7,16,0,230,0,0
2020,7,17,0,230,0,0
2020,7,18,0,230,0,0
2020,7,19,0,230,0,0
2020,7,20,0,230,0,0
