year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,163,3112,0,0
2020,3,12,163,3112,0,0
2020,3,13,163,3112,0,0
2020,3,14,163,3112,0,0
2020,3,15,163,3112,0,0
2020,3,16,163,3112,0,0
2020,3,17,65,341,31,4
2020,3,18,65,341,31,4
2020,3,19,65,341,31,4
2020,3,20,65,341,31,4
2020,3,21,65,341,31,4
2020,3,22,65,341,31,4
2020,3,23,65,341,31,4
2020,3,24,293,1015,9,5
2020,3,25,293,1015,9,5
2020,3,26,293,1015,9,5
2020,3,27,293,1015,9,5
2020,3,28,293,1015,9,5
2020,3,29,293,1015,9,5
2020,3,30,293,1015,9,5
2020,3,31,679,1812,12,21
2020,4,1,679,1812,12,21
2020,4,2,679,1812,12,21
2020,4,3,679,1812,12,21
2020,4,4,679,1812,12,21
2020,4,5,679,1812,12,21
2020,4,6,679,1812,12,21
2020,4,7,1099,2153,0,12
2020,4,8,1099,2153,0,12
2020,4,9,1099,2153,0,12
2020,4,10,1099,2153,0,12
2020,4,11,1099,2153,0,12
2020,4,12,1099,2153,0,12
2020,4,13,1099,2153,0,12
2020,4,14,1039,2049,548,35
2020,4,15,1039,2049,548,35
2020,4,16,1039,2049,548,35
2020,4,17,1039,2049,548,35
2020,4,18,1039,2049,548,35
2020,4,19,1039,2049,548,35
2020,4,20,1039,2049,548,35
2020,4,21,792,2168,573,29
2020,4,22,792,2168,573,29
2020,4,23,792,2168,573,29
2020,4,24,792,2168,573,29
2020,4,25,792,2168,573,29
2020,4,26,792,2168,573,29
2020,4,27,792,2168,573,29
2020,4,28,720,2214,416,44
2020,4,29,720,2214,416,44
2020,4,30,720,2214,416,44
2020,5,1,720,2214,416,44
2020,5,2,720,2214,416,44
2020,5,3,720,2214,416,44
2020,5,4,720,2214,416,44
2020,5,5,229,5387,596,39
2020,5,6,229,5387,596,39
2020,5,7,229,5387,596,39
2020,5,8,229,5387,596,39
2020,5,9,229,5387,596,39
2020,5,10,229,5387,596,39
2020,5,11,229,5387,596,39
2020,5,12,106,7931,1447,52
2020,5,13,106,7931,1447,52
2020,5,14,106,7931,1447,52
2020,5,15,106,7931,1447,52
2020,5,16,106,7931,1447,52
2020,5,17,106,7931,1447,52
2020,5,18,106,7931,1447,52
2020,5,19,48,6336,679,47
2020,5,20,48,6336,679,47
2020,5,21,48,6336,679,47
2020,5,22,48,6336,679,47
2020,5,23,48,6336,679,47
2020,5,24,48,6336,679,47
2020,5,25,48,6336,679,47
2020,5,26,89,7024,228,17
2020,5,27,89,7024,228,17
2020,5,28,89,7024,228,17
2020,5,29,89,7024,228,17
2020,5,30,89,7024,228,17
2020,5,31,89,7024,228,17
2020,6,1,89,7024,228,17
2020,6,2,147,10478,177,6
2020,6,3,147,10478,177,6
2020,6,4,147,10478,177,6
2020,6,5,147,10478,177,6
2020,6,6,147,10478,177,6
2020,6,7,147,10478,177,6
2020,6,8,147,10478,177,6
2020,6,9,196,11720,171,3
2020,6,10,196,11720,171,3
2020,6,11,196,11720,171,3
2020,6,12,196,11720,171,3
2020,6,13,196,11720,171,3
2020,6,14,196,11720,171,3
2020,6,15,196,11720,171,3
2020,6,16,220,11678,261,7
2020,6,17,220,11678,261,7
2020,6,18,220,11678,261,7
2020,6,19,220,11678,261,7
2020,6,20,220,11678,261,7
2020,6,21,220,11678,261,7
2020,6,22,220,11678,261,7
2020,6,23,359,12930,247,4
2020,6,24,359,12930,247,4
2020,6,25,359,12930,247,4
2020,6,26,359,12930,247,4
2020,6,27,359,12930,247,4
2020,6,28,359,12930,247,4
2020,6,29,359,12930,247,4
2020,6,30,696,16140,311,0
2020,7,1,696,16140,311,0
2020,7,2,696,16140,311,0
2020,7,3,696,16140,311,0
2020,7,4,696,16140,311,0
2020,7,5,696,16140,311,0
2020,7,6,696,16140,311,0
2020,7,7,1179,15426,630,0
2020,7,8,1179,15426,630,0
2020,7,9,1179,15426,630,0
2020,7,10,1179,15426,630,0
2020,7,11,1179,15426,630,0
2020,7,12,1179,15426,630,0
2020,7,13,1179,15426,630,0
2020,7,14,1533,24818,976,2
2020,7,15,1533,24818,976,2
2020,7,16,1533,24818,976,2
2020,7,17,1533,24818,976,2
2020,7,18,1533,24818,976,2
2020,7,19,1533,24818,976,2
2020,7,20,1533,24818,976,2
