year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,177,0,0
2020,3,12,0,177,0,0
2020,3,13,0,177,0,0
2020,3,14,0,177,0,0
2020,3,15,0,177,0,0
2020,3,16,0,177,0,0
2020,3,17,0,31,0,0
2020,3,18,0,31,0,0
2020,3,19,0,31,0,0
2020,3,20,0,31,0,0
2020,3,21,0,31,0,0
2020,3,22,0,31,0,0
2020,3,23,0,31,0,0
2020,3,24,0,43,0,0
2020,3,25,0,43,0,0
2020,3,26,0,43,0,0
2020,3,27,0,43,0,0
2020,3,28,0,43,0,0
2020,3,29,0,43,0,0
2020,3,30,0,43,0,0
2020,3,31,0,73,0,0
2020,4,1,0,73,0,0
2020,4,2,0,73,0,0
2020,4,3,0,73,0,0
2020,4,4,0,73,0,0
2020,4,5,0,73,0,0
2020,4,6,0,73,0,0
2020,4,7,1,136,0,0
2020,4,8,1,136,0,0
2020,4,9,1,136,0,0
2020,4,10,1,136,0,0
2020,4,11,1,136,0,0
2020,4,12,1,136,0,0
2020,4,13,1,136,0,0
2020,4,14,2,333,0,0
2020,4,15,2,333,0,0
2020,4,16,2,333,0,0
2020,4,17,2,333,0,0
2020,4,18,2,333,0,0
2020,4,19,2,333,0,0
2020,4,20,2,333,0,0
2020,4,21,0,271,1,0
2020,4,22,0,271,1,0
2020,4,23,0,271,1,0
2020,4,24,0,271,1,0
2020,4,25,0,271,1,0
2020,4,26,0,271,1,0
2020,4,27,0,271,1,0
2020,4,28,0,121,0,0
2020,4,29,0,121,0,0
2020,4,30,0,121,0,0
2020,5,1,0,121,0,0
2020,5,2,0,121,0,0
2020,5,3,0,121,0,0
2020,5,4,0,121,0,0
2020,5,5,0,64,0,0
2020,5,6,0,64,0,0
2020,5,7,0,64,0,0
2020,5,8,0,64,0,0
2020,5,9,0,64,0,0
2020,5,10,0,64,0,0
2020,5,11,0,64,0,0
2020,5,12,0,82,0,0
2020,5,13,0,82,0,0
2020,5,14,0,82,0,0
2020,5,15,0,82,0,0
2020,5,16,0,82,0,0
2020,5,17,0,82,0,0
2020,5,18,0,82,0,0
2020,5,19,0,54,2,0
2020,5,20,0,54,2,0
2020,5,21,0,54,2,0
2020,5,22,0,54,2,0
2020,5,23,0,54,2,0
2020,5,24,0,54,2,0
2020,5,25,0,54,2,0
2020,5,26,0,40,0,0
2020,5,27,0,40,0,0
2020,5,28,0,40,0,0
2020,5,29,0,40,0,0
2020,5,30,0,40,0,0
2020,5,31,0,40,0,0
2020,6,1,0,40,0,0
2020,6,2,0,52,0,0
2020,6,3,0,52,0,0
2020,6,4,0,52,0,0
2020,6,5,0,52,0,0
2020,6,6,0,52,0,0
2020,6,7,0,52,0,0
2020,6,8,0,52,0,0
2020,6,9,0,30,0,0
2020,6,10,0,30,0,0
2020,6,11,0,30,0,0
2020,6,12,0,30,0,0
2020,6,13,0,30,0,0
2020,6,14,0,30,0,0
2020,6,15,0,30,0,0
2020,6,16,0,23,0,0
2020,6,17,0,23,0,0
2020,6,18,0,23,0,0
2020,6,19,0,23,0,0
2020,6,20,0,23,0,0
2020,6,21,0,23,0,0
2020,6,22,0,23,0,0
2020,6,23,0,30,0,0
2020,6,24,0,30,0,0
2020,6,25,0,30,0,0
2020,6,26,0,30,0,0
2020,6,27,0,30,0,0
2020,6,28,0,30,0,0
2020,6,29,0,30,0,0
2020,6,30,1,338,0,0
2020,7,1,1,338,0,0
2020,7,2,1,338,0,0
2020,7,3,1,338,0,0
2020,7,4,1,338,0,0
2020,7,5,1,338,0,0
2020,7,6,1,338,0,0
2020,7,7,1,206,0,0
2020,7,8,1,206,0,0
2020,7,9,1,206,0,0
2020,7,10,1,206,0,0
2020,7,11,1,206,0,0
2020,7,12,1,206,0,0
2020,7,13,1,206,0,0
2020,7,14,0,210,0,0
2020,7,15,0,210,0,0
2020,7,16,0,210,0,0
2020,7,17,0,210,0,0
2020,7,18,0,210,0,0
2020,7,19,0,210,0,0
2020,7,20,0,210,0,0
