year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,93,0,0
2020,3,12,0,93,0,0
2020,3,13,0,93,0,0
2020,3,14,0,93,0,0
2020,3,15,0,93,0,0
2020,3,16,0,93,0,0
2020,3,17,0,13,0,0
2020,3,18,0,13,0,0
2020,3,19,0,13,0,0
2020,3,20,0,13,0,0
2020,3,21,0,13,0,0
2020,3,22,0,13,0,0
2020,3,23,0,13,0,0
2020,3,24,1,17,0,0
2020,3,25,1,17,0,0
2020,3,26,1,17,0,0
2020,3,27,1,17,0,0
2020,3,28,1,17,0,0
2020,3,29,1,17,0,0
2020,3,30,1,17,0,0
2020,3,31,10,302,0,0
2020,4,1,10,302,0,0
2020,4,2,10,302,0,0
2020,4,3,10,302,0,0
2020,4,4,10,302,0,0
2020,4,5,10,302,0,0
2020,4,6,10,302,0,0
2020,4,7,38,529,1,0
2020,4,8,38,529,1,0
2020,4,9,38,529,1,0
2020,4,10,38,529,1,0
2020,4,11,38,529,1,0
2020,4,12,38,529,1,0
2020,4,13,38,529,1,0
2020,4,14,65,544,7,2
2020,4,15,65,544,7,2
2020,4,16,65,544,7,2
2020,4,17,65,544,7,2
2020,4,18,65,544,7,2
2020,4,19,65,544,7,2
2020,4,20,65,544,7,2
2020,4,21,67,648,1,1
2020,4,22,67,648,1,1
2020,4,23,67,648,1,1
2020,4,24,67,648,1,1
2020,4,25,67,648,1,1
2020,4,26,67,648,1,1
2020,4,27,67,648,1,1
2020,4,28,31,290,28,7
2020,4,29,31,290,28,7
2020,4,30,31,290,28,7
2020,5,1,31,290,28,7
2020,5,2,31,290,28,7
2020,5,3,31,290,28,7
2020,5,4,31,290,28,7
2020,5,5,9,457,62,4
2020,5,6,9,457,62,4
2020,5,7,9,457,62,4
2020,5,8,9,457,62,4
2020,5,9,9,457,62,4
2020,5,10,9,457,62,4
2020,5,11,9,457,62,4
2020,5,12,6,148,66,6
2020,5,13,6,148,66,6
2020,5,14,6,148,66,6
2020,5,15,6,148,66,6
2020,5,16,6,148,66,6
2020,5,17,6,148,66,6
2020,5,18,6,148,66,6
2020,5,19,0,104,15,1
2020,5,20,0,104,15,1
2020,5,21,0,104,15,1
2020,5,22,0,104,15,1
2020,5,23,0,104,15,1
2020,5,24,0,104,15,1
2020,5,25,0,104,15,1
2020,5,26,0,89,10,1
2020,5,27,0,89,10,1
2020,5,28,0,89,10,1
2020,5,29,0,89,10,1
2020,5,30,0,89,10,1
2020,5,31,0,89,10,1
2020,6,1,0,89,10,1
2020,6,2,0,341,9,0
2020,6,3,0,341,9,0
2020,6,4,0,341,9,0
2020,6,5,0,341,9,0
2020,6,6,0,341,9,0
2020,6,7,0,341,9,0
2020,6,8,0,341,9,0
2020,6,9,0,130,3,0
2020,6,10,0,130,3,0
2020,6,11,0,130,3,0
2020,6,12,0,130,3,0
2020,6,13,0,130,3,0
2020,6,14,0,130,3,0
2020,6,15,0,130,3,0
2020,6,16,0,155,3,0
2020,6,17,0,155,3,0
2020,6,18,0,155,3,0
2020,6,19,0,155,3,0
2020,6,20,0,155,3,0
2020,6,21,0,155,3,0
2020,6,22,0,155,3,0
2020,6,23,0,98,0,0
2020,6,24,0,98,0,0
2020,6,25,0,98,0,0
2020,6,26,0,98,0,0
2020,6,27,0,98,0,0
2020,6,28,0,98,0,0
2020,6,29,0,98,0,0
2020,6,30,1,176,0,0
2020,7,1,1,176,0,0
2020,7,2,1,176,0,0
2020,7,3,1,176,0,0
2020,7,4,1,176,0,0
2020,7,5,1,176,0,0
2020,7,6,1,176,0,0
2020,7,7,2,204,0,0
2020,7,8,2,204,0,0
2020,7,9,2,204,0,0
2020,7,10,2,204,0,0
2020,7,11,2,204,0,0
2020,7,12,2,204,0,0
2020,7,13,2,204,0,0
2020,7,14,1,497,1,0
2020,7,15,1,497,1,0
2020,7,16,1,497,1,0
2020,7,17,1,497,1,0
2020,7,18,1,497,1,0
2020,7,19,1,497,1,0
2020,7,20,1,497,1,0
