year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,29,2022,0,0
2020,3,12,29,2022,0,0
2020,3,13,29,2022,0,0
2020,3,14,29,2022,0,0
2020,3,15,29,2022,0,0
2020,3,16,29,2022,0,0
2020,3,17,2,265,9,1
2020,3,18,2,265,9,1
2020,3,19,2,265,9,1
2020,3,20,2,265,9,1
2020,3,21,2,265,9,1
2020,3,22,2,265,9,1
2020,3,23,2,265,9,1
2020,3,24,0,147,4,0
2020,3,25,0,147,4,0
2020,3,26,0,147,4,0
2020,3,27,0,147,4,0
2020,3,28,0,147,4,0
2020,3,29,0,147,4,0
2020,3,30,0,147,4,0
2020,3,31,10,190,2,0
2020,4,1,10,190,2,0
2020,4,2,10,190,2,0
2020,4,3,10,190,2,0
2020,4,4,10,190,2,0
2020,4,5,10,190,2,0
2020,4,6,10,190,2,0
2020,4,7,7,450,2,0
2020,4,8,7,450,2,0
2020,4,9,7,450,2,0
2020,4,10,7,450,2,0
2020,4,11,7,450,2,0
2020,4,12,7,450,2,0
2020,4,13,7,450,2,0
2020,4,14,12,247,3,0
2020,4,15,12,247,3,0
2020,4,16,12,247,3,0
2020,4,17,12,247,3,0
2020,4,18,12,247,3,0
2020,4,19,12,247,3,0
2020,4,20,12,247,3,0
2020,4,21,13,498,7,0
2020,4,22,13,498,7,0
2020,4,23,13,498,7,0
2020,4,24,13,498,7,0
2020,4,25,13,498,7,0
2020,4,26,13,498,7,0
2020,4,27,13,498,7,0
2020,4,28,3,240,8,1
2020,4,29,3,240,8,1
2020,4,30,3,240,8,1
2020,5,1,3,240,8,1
2020,5,2,3,240,8,1
2020,5,3,3,240,8,1
2020,5,4,3,240,8,1
2020,5,5,0,292,14,1
2020,5,6,0,292,14,1
2020,5,7,0,292,14,1
2020,5,8,0,292,14,1
2020,5,9,0,292,14,1
2020,5,10,0,292,14,1
2020,5,11,0,292,14,1
2020,5,12,1,171,3,0
2020,5,13,1,171,3,0
2020,5,14,1,171,3,0
2020,5,15,1,171,3,0
2020,5,16,1,171,3,0
2020,5,17,1,171,3,0
2020,5,18,1,171,3,0
2020,5,19,0,90,2,0
2020,5,20,0,90,2,0
2020,5,21,0,90,2,0
2020,5,22,0,90,2,0
2020,5,23,0,90,2,0
2020,5,24,0,90,2,0
2020,5,25,0,90,2,0
2020,5,26,0,78,3,0
2020,5,27,0,78,3,0
2020,5,28,0,78,3,0
2020,5,29,0,78,3,0
2020,5,30,0,78,3,0
2020,5,31,0,78,3,0
2020,6,1,0,78,3,0
2020,6,2,0,82,3,0
2020,6,3,0,82,3,0
2020,6,4,0,82,3,0
2020,6,5,0,82,3,0
2020,6,6,0,82,3,0
2020,6,7,0,82,3,0
2020,6,8,0,82,3,0
2020,6,9,0,66,0,0
2020,6,10,0,66,0,0
2020,6,11,0,66,0,0
2020,6,12,0,66,0,0
2020,6,13,0,66,0,0
2020,6,14,0,66,0,0
2020,6,15,0,66,0,0
2020,6,16,0,45,0,0
2020,6,17,0,45,0,0
2020,6,18,0,45,0,0
2020,6,19,0,45,0,0
2020,6,20,0,45,0,0
2020,6,21,0,45,0,0
2020,6,22,0,45,0,0
2020,6,23,1,78,0,0
2020,6,24,1,78,0,0
2020,6,25,1,78,0,0
2020,6,26,1,78,0,0
2020,6,27,1,78,0,0
2020,6,28,1,78,0,0
2020,6,29,1,78,0,0
2020,6,30,0,91,1,0
2020,7,1,0,91,1,0
2020,7,2,0,91,1,0
2020,7,3,0,91,1,0
2020,7,4,0,91,1,0
2020,7,5,0,91,1,0
2020,7,6,0,91,1,0
2020,7,7,19,486,0,0
2020,7,8,19,486,0,0
2020,7,9,19,486,0,0
2020,7,10,19,486,0,0
2020,7,11,19,486,0,0
2020,7,12,19,486,0,0
2020,7,13,19,486,0,0
2020,7,14,10,511,12,0
2020,7,15,10,511,12,0
2020,7,16,10,511,12,0
2020,7,17,10,511,12,0
2020,7,18,10,511,12,0
2020,7,19,10,511,12,0
2020,7,20,10,511,12,0
