year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,208,0,0
2020,3,12,0,208,0,0
2020,3,13,0,208,0,0
2020,3,14,0,208,0,0
2020,3,15,0,208,0,0
2020,3,16,0,208,0,0
2020,3,17,0,33,0,0
2020,3,18,0,33,0,0
2020,3,19,0,33,0,0
2020,3,20,0,33,0,0
2020,3,21,0,33,0,0
2020,3,22,0,33,0,0
2020,3,23,0,33,0,0
2020,3,24,0,53,0,0
2020,3,25,0,53,0,0
2020,3,26,0,53,0,0
2020,3,27,0,53,0,0
2020,3,28,0,53,0,0
2020,3,29,0,53,0,0
2020,3,30,0,53,0,0
2020,3,31,13,236,0,0
2020,4,1,13,236,0,0
2020,4,2,13,236,0,0
2020,4,3,13,236,0,0
2020,4,4,13,236,0,0
2020,4,5,13,236,0,0
2020,4,6,13,236,0,0
2020,4,7,22,498,0,0
2020,4,8,22,498,0,0
2020,4,9,22,498,0,0
2020,4,10,22,498,0,0
2020,4,11,22,498,0,0
2020,4,12,22,498,0,0
2020,4,13,22,498,0,0
2020,4,14,29,665,15,0
2020,4,15,29,665,15,0
2020,4,16,29,665,15,0
2020,4,17,29,665,15,0
2020,4,18,29,665,15,0
2020,4,19,29,665,15,0
2020,4,20,29,665,15,0
2020,4,21,2,455,23,0
2020,4,22,2,455,23,0
2020,4,23,2,455,23,0
2020,4,24,2,455,23,0
2020,4,25,2,455,23,0
2020,4,26,2,455,23,0
2020,4,27,2,455,23,0
2020,4,28,2,194,16,0
2020,4,29,2,194,16,0
2020,4,30,2,194,16,0
2020,5,1,2,194,16,0
2020,5,2,2,194,16,0
2020,5,3,2,194,16,0
2020,5,4,2,194,16,0
2020,5,5,1,210,4,0
2020,5,6,1,210,4,0
2020,5,7,1,210,4,0
2020,5,8,1,210,4,0
2020,5,9,1,210,4,0
2020,5,10,1,210,4,0
2020,5,11,1,210,4,0
2020,5,12,0,106,0,0
2020,5,13,0,106,0,0
2020,5,14,0,106,0,0
2020,5,15,0,106,0,0
2020,5,16,0,106,0,0
2020,5,17,0,106,0,0
2020,5,18,0,106,0,0
2020,5,19,0,60,7,0
2020,5,20,0,60,7,0
2020,5,21,0,60,7,0
2020,5,22,0,60,7,0
2020,5,23,0,60,7,0
2020,5,24,0,60,7,0
2020,5,25,0,60,7,0
2020,5,26,0,38,1,0
2020,5,27,0,38,1,0
2020,5,28,0,38,1,0
2020,5,29,0,38,1,0
2020,5,30,0,38,1,0
2020,5,31,0,38,1,0
2020,6,1,0,38,1,0
2020,6,2,0,-206,1,0
2020,6,3,0,-206,1,0
2020,6,4,0,-206,1,0
2020,6,5,0,-206,1,0
2020,6,6,0,-206,1,0
2020,6,7,0,-206,1,0
2020,6,8,0,-206,1,0
2020,6,9,0,25,1,0
2020,6,10,0,25,1,0
2020,6,11,0,25,1,0
2020,6,12,0,25,1,0
2020,6,13,0,25,1,0
2020,6,14,0,25,1,0
2020,6,15,0,25,1,0
2020,6,16,0,26,0,0
2020,6,17,0,26,0,0
2020,6,18,0,26,0,0
2020,6,19,0,26,0,0
2020,6,20,0,26,0,0
2020,6,21,0,26,0,0
2020,6,22,0,26,0,0
2020,6,23,0,33,0,0
2020,6,24,0,33,0,0
2020,6,25,0,33,0,0
2020,6,26,0,33,0,0
2020,6,27,0,33,0,0
2020,6,28,0,33,0,0
2020,6,29,0,33,0,0
2020,6,30,2,45,0,0
2020,7,1,2,45,0,0
2020,7,2,2,45,0,0
2020,7,3,2,45,0,0
2020,7,4,2,45,0,0
2020,7,5,2,45,0,0
2020,7,6,2,45,0,0
2020,7,7,1,59,0,1
2020,7,8,1,59,0,1
2020,7,9,1,59,0,1
2020,7,10,1,59,0,1
2020,7,11,1,59,0,1
2020,7,12,1,59,0,1
2020,7,13,1,59,0,1
2020,7,14,3,180,4,0
2020,7,15,3,180,4,0
2020,7,16,3,180,4,0
2020,7,17,3,180,4,0
2020,7,18,3,180,4,0
2020,7,19,3,180,4,0
2020,7,20,3,180,4,0
