year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,6,251,0,0
2020,3,12,6,251,0,0
2020,3,13,6,251,0,0
2020,3,14,6,251,0,0
2020,3,15,6,251,0,0
2020,3,16,6,251,0,0
2020,3,17,1,42,0,0
2020,3,18,1,42,0,0
2020,3,19,1,42,0,0
2020,3,20,1,42,0,0
2020,3,21,1,42,0,0
2020,3,22,1,42,0,0
2020,3,23,1,42,0,0
2020,3,24,2,77,2,0
2020,3,25,2,77,2,0
2020,3,26,2,77,2,0
2020,3,27,2,77,2,0
2020,3,28,2,77,2,0
2020,3,29,2,77,2,0
2020,3,30,2,77,2,0
2020,3,31,6,192,1,0
2020,4,1,6,192,1,0
2020,4,2,6,192,1,0
2020,4,3,6,192,1,0
2020,4,4,6,192,1,0
2020,4,5,6,192,1,0
2020,4,6,6,192,1,0
2020,4,7,12,208,2,0
2020,4,8,12,208,2,0
2020,4,9,12,208,2,0
2020,4,10,12,208,2,0
2020,4,11,12,208,2,0
2020,4,12,12,208,2,0
2020,4,13,12,208,2,0
2020,4,14,6,462,10,0
2020,4,15,6,462,10,0
2020,4,16,6,462,10,0
2020,4,17,6,462,10,0
2020,4,18,6,462,10,0
2020,4,19,6,462,10,0
2020,4,20,6,462,10,0
2020,4,21,2,106,3,0
2020,4,22,2,106,3,0
2020,4,23,2,106,3,0
2020,4,24,2,106,3,0
2020,4,25,2,106,3,0
2020,4,26,2,106,3,0
2020,4,27,2,106,3,0
2020,4,28,3,65,6,0
2020,4,29,3,65,6,0
2020,4,30,3,65,6,0
2020,5,1,3,65,6,0
2020,5,2,3,65,6,0
2020,5,3,3,65,6,0
2020,5,4,3,65,6,0
2020,5,5,2,238,9,0
2020,5,6,2,238,9,0
2020,5,7,2,238,9,0
2020,5,8,2,238,9,0
2020,5,9,2,238,9,0
2020,5,10,2,238,9,0
2020,5,11,2,238,9,0
2020,5,12,0,93,1,0
2020,5,13,0,93,1,0
2020,5,14,0,93,1,0
2020,5,15,0,93,1,0
2020,5,16,0,93,1,0
2020,5,17,0,93,1,0
2020,5,18,0,93,1,0
2020,5,19,0,36,1,0
2020,5,20,0,36,1,0
2020,5,21,0,36,1,0
2020,5,22,0,36,1,0
2020,5,23,0,36,1,0
2020,5,24,0,36,1,0
2020,5,25,0,36,1,0
2020,5,26,0,101,0,0
2020,5,27,0,101,0,0
2020,5,28,0,101,0,0
2020,5,29,0,101,0,0
2020,5,30,0,101,0,0
2020,5,31,0,101,0,0
2020,6,1,0,101,0,0
2020,6,2,0,100,1,0
2020,6,3,0,100,1,0
2020,6,4,0,100,1,0
2020,6,5,0,100,1,0
2020,6,6,0,100,1,0
2020,6,7,0,100,1,0
2020,6,8,0,100,1,0
2020,6,9,0,80,0,0
2020,6,10,0,80,0,0
2020,6,11,0,80,0,0
2020,6,12,0,80,0,0
2020,6,13,0,80,0,0
2020,6,14,0,80,0,0
2020,6,15,0,80,0,0
2020,6,16,0,150,1,0
2020,6,17,0,150,1,0
2020,6,18,0,150,1,0
2020,6,19,0,150,1,0
2020,6,20,0,150,1,0
2020,6,21,0,150,1,0
2020,6,22,0,150,1,0
2020,6,23,0,179,0,0
2020,6,24,0,179,0,0
2020,6,25,0,179,0,0
2020,6,26,0,179,0,0
2020,6,27,0,179,0,0
2020,6,28,0,179,0,0
2020,6,29,0,179,0,0
2020,6,30,0,218,0,0
2020,7,1,0,218,0,0
2020,7,2,0,218,0,0
2020,7,3,0,218,0,0
2020,7,4,0,218,0,0
2020,7,5,0,218,0,0
2020,7,6,0,218,0,0
2020,7,7,0,190,0,0
2020,7,8,0,190,0,0
2020,7,9,0,190,0,0
2020,7,10,0,190,0,0
2020,7,11,0,190,0,0
2020,7,12,0,190,0,0
2020,7,13,0,190,0,0
2020,7,14,5,585,0,0
2020,7,15,5,585,0,0
2020,7,16,5,585,0,0
2020,7,17,5,585,0,0
2020,7,18,5,585,0,0
2020,7,19,5,585,0,0
2020,7,20,5,585,0,0
