year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,4,530,0,0
2020,3,12,4,530,0,0
2020,3,13,4,530,0,0
2020,3,14,4,530,0,0
2020,3,15,4,530,0,0
2020,3,16,4,530,0,0
2020,3,17,0,64,1,0
2020,3,18,0,64,1,0
2020,3,19,0,64,1,0
2020,3,20,0,64,1,0
2020,3,21,0,64,1,0
2020,3,22,0,64,1,0
2020,3,23,0,64,1,0
2020,3,24,3,96,1,0
2020,3,25,3,96,1,0
2020,3,26,3,96,1,0
2020,3,27,3,96,1,0
2020,3,28,3,96,1,0
2020,3,29,3,96,1,0
2020,3,30,3,96,1,0
2020,3,31,9,295,0,0
2020,4,1,9,295,0,0
2020,4,2,9,295,0,0
2020,4,3,9,295,0,0
2020,4,4,9,295,0,0
2020,4,5,9,295,0,0
2020,4,6,9,295,0,0
2020,4,7,21,408,0,0
2020,4,8,21,408,0,0
2020,4,9,21,408,0,0
2020,4,10,21,408,0,0
2020,4,11,21,408,0,0
2020,4,12,21,408,0,0
2020,4,13,21,408,0,0
2020,4,14,14,496,7,0
2020,4,15,14,496,7,0
2020,4,16,14,496,7,0
2020,4,17,14,496,7,0
2020,4,18,14,496,7,0
2020,4,19,14,496,7,0
2020,4,20,14,496,7,0
2020,4,21,2,419,13,0
2020,4,22,2,419,13,0
2020,4,23,2,419,13,0
2020,4,24,2,419,13,0
2020,4,25,2,419,13,0
2020,4,26,2,419,13,0
2020,4,27,2,419,13,0
2020,4,28,5,286,7,0
2020,4,29,5,286,7,0
2020,4,30,5,286,7,0
2020,5,1,5,286,7,0
2020,5,2,5,286,7,0
2020,5,3,5,286,7,0
2020,5,4,5,286,7,0
2020,5,5,0,623,20,0
2020,5,6,0,623,20,0
2020,5,7,0,623,20,0
2020,5,8,0,623,20,0
2020,5,9,0,623,20,0
2020,5,10,0,623,20,0
2020,5,11,0,623,20,0
2020,5,12,1,356,2,0
2020,5,13,1,356,2,0
2020,5,14,1,356,2,0
2020,5,15,1,356,2,0
2020,5,16,1,356,2,0
2020,5,17,1,356,2,0
2020,5,18,1,356,2,0
2020,5,19,3,383,6,1
2020,5,20,3,383,6,1
2020,5,21,3,383,6,1
2020,5,22,3,383,6,1
2020,5,23,3,383,6,1
2020,5,24,3,383,6,1
2020,5,25,3,383,6,1
2020,5,26,4,318,2,0
2020,5,27,4,318,2,0
2020,5,28,4,318,2,0
2020,5,29,4,318,2,0
2020,5,30,4,318,2,0
2020,5,31,4,318,2,0
2020,6,1,4,318,2,0
2020,6,2,3,396,4,0
2020,6,3,3,396,4,0
2020,6,4,3,396,4,0
2020,6,5,3,396,4,0
2020,6,6,3,396,4,0
2020,6,7,3,396,4,0
2020,6,8,3,396,4,0
2020,6,9,4,477,5,0
2020,6,10,4,477,5,0
2020,6,11,4,477,5,0
2020,6,12,4,477,5,0
2020,6,13,4,477,5,0
2020,6,14,4,477,5,0
2020,6,15,4,477,5,0
2020,6,16,1,406,1,0
2020,6,17,1,406,1,0
2020,6,18,1,406,1,0
2020,6,19,1,406,1,0
2020,6,20,1,406,1,0
2020,6,21,1,406,1,0
2020,6,22,1,406,1,0
2020,6,23,2,289,2,0
2020,6,24,2,289,2,0
2020,6,25,2,289,2,0
2020,6,26,2,289,2,0
2020,6,27,2,289,2,0
2020,6,28,2,289,2,0
2020,6,29,2,289,2,0
2020,6,30,1,360,2,0
2020,7,1,1,360,2,0
2020,7,2,1,360,2,0
2020,7,3,1,360,2,0
2020,7,4,1,360,2,0
2020,7,5,1,360,2,0
2020,7,6,1,360,2,0
2020,7,7,1,283,1,0
2020,7,8,1,283,1,0
2020,7,9,1,283,1,0
2020,7,10,1,283,1,0
2020,7,11,1,283,1,0
2020,7,12,1,283,1,0
2020,7,13,1,283,1,0
2020,7,14,2,320,1,0
2020,7,15,2,320,1,0
2020,7,16,2,320,1,0
2020,7,17,2,320,1,0
2020,7,18,2,320,1,0
2020,7,19,2,320,1,0
2020,7,20,2,320,1,0
