year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2.0,236.0,0.0,0.0
2020,3,12,2.0,251.0,0.0,0.0
2020,3,13,2.0,267.0,0.0,0.0
2020,3,14,2.0,267.0,0.0,0.0
2020,3,15,2.0,267.0,0.0,0.0
2020,3,16,2.0,294.0,0.0,0.0
2020,3,17,2.0,315.0,0.0,0.0
2020,3,18,2.0,325.0,0.0,0.0
2020,3,19,2.0,335.0,0.0,0.0
2020,3,20,2.0,337.0,0.0,0.0
2020,3,21,2.0,338.0,0.0,0.0
2020,3,22,2.0,338.0,1.0,0.0
2020,3,23,2.0,358.0,1.0,0.0
2020,3,24,4.0,370.0,1.0,0.0
2020,3,25,4.0,383.0,1.0,0.0
2020,3,26,4.0,401.0,2.0,0.0
2020,3,27,4.0,422.0,2.0,0.0
2020,3,28,4.0,426.0,2.0,0.0
2020,3,29,4.0,428.0,2.0,0.0
2020,3,30,5.0,454.0,2.0,0.0
2020,3,31,6.0,472.0,2.0,0.0
2020,4,1,8.0,472.0,2.0,0.0
2020,4,2,9.0,579.0,2.0,0.0
2020,4,3,9.0,625.0,2.0,0.0
2020,4,4,11.0,625.0,2.0,0.0
2020,4,5,13.0,625.0,2.0,0.0
2020,4,6,14.0,749.0,2.0,0.0
2020,4,7,19.0,828.0,2.0,0.0
2020,4,8,22.0,887.0,2.0,0.0
2020,4,9,24.0,946.0,2.0,0.0
2020,4,10,27.0,1013.0,2.0,0.0
2020,4,11,32.0,1013.0,2.0,0.0
2020,4,12,35.0,1013.0,2.0,0.0
2020,4,13,35.0,1157.0,2.0,0.0
2020,4,14,36.0,1205.0,2.0,0.0
2020,4,15,39.0,1295.0,2.0,0.0
2020,4,16,43.0,1367.0,9.0,0.0
2020,4,17,46.0,1435.0,9.0,0.0
2020,4,18,48.0,1435.0,9.0,0.0
2020,4,19,49.0,1435.0,9.0,0.0
2020,4,20,49.0,1653.0,9.0,0.0
2020,4,21,50.0,1703.0,9.0,0.0
2020,4,22,51.0,1813.0,22.0,0.0
2020,4,23,51.0,1862.0,22.0,0.0
2020,4,24,51.0,1922.0,22.0,0.0
2020,4,25,51.0,1922.0,22.0,0.0
2020,4,26,51.0,1922.0,22.0,0.0
2020,4,27,51.0,2072.0,22.0,0.0
2020,4,28,52.0,2117.0,23.0,0.0
2020,4,29,52.0,2117.0,24.0,0.0
2020,4,30,52.0,2292.0,24.0,0.0
2020,5,1,54.0,2358.0,29.0,0.0
2020,5,2,55.0,2358.0,29.0,0.0
2020,5,3,56.0,2358.0,29.0,0.0
2020,5,4,56.0,2358.0,29.0,0.0
2020,5,5,56.0,2358.0,29.0,0.0
2020,5,6,56.0,2358.0,29.0,0.0
2020,5,7,56.0,2738.0,29.0,0.0
2020,5,8,56.0,2806.0,48.0,0.0
2020,5,9,56.0,2806.0,48.0,0.0
2020,5,10,56.0,2806.0,48.0,0.0
2020,5,11,56.0,2981.0,49.0,0.0
2020,5,12,56.0,3027.0,49.0,0.0
2020,5,13,57.0,3108.0,51.0,0.0
2020,5,14,57.0,3162.0,51.0,0.0
2020,5,15,57.0,3205.0,51.0,0.0
2020,5,16,57.0,3205.0,51.0,0.0
2020,5,17,57.0,3205.0,51.0,0.0
2020,5,18,57.0,3337.0,51.0,0.0
2020,5,19,58.0,3395.0,51.0,0.0
2020,5,20,60.0,3483.0,52.0,0.0
2020,5,21,60.0,3550.0,55.0,0.0
2020,5,22,60.0,3602.0,56.0,0.0
2020,5,23,60.0,3602.0,56.0,0.0
2020,5,24,60.0,3602.0,56.0,0.0
2020,5,25,60.0,3720.0,57.0,1.0
2020,5,26,60.0,3752.0,57.0,1.0
2020,5,27,60.0,3801.0,57.0,1.0
2020,5,28,60.0,3842.0,57.0,1.0
2020,5,29,64.0,3877.0,59.0,1.0
2020,5,30,64.0,3877.0,59.0,1.0
2020,5,31,64.0,3877.0,59.0,1.0
2020,6,1,64.0,4038.0,59.0,1.0
2020,6,2,64.0,4088.0,59.0,1.0
2020,6,3,65.0,4146.0,60.0,1.0
2020,6,4,65.0,4202.0,60.0,1.0
2020,6,5,65.0,4259.0,62.0,1.0
2020,6,6,65.0,4259.0,62.0,1.0
2020,6,7,65.0,4259.0,62.0,1.0
2020,6,8,67.0,4434.0,63.0,1.0
2020,6,9,67.0,4487.0,63.0,1.0
2020,6,10,68.0,4577.0,64.0,1.0
2020,6,11,68.0,4648.0,64.0,1.0
2020,6,12,69.0,4728.0,67.0,1.0
2020,6,13,69.0,4728.0,67.0,1.0
2020,6,14,69.0,4728.0,67.0,1.0
2020,6,15,71.0,4911.0,68.0,1.0
2020,6,16,71.0,4968.0,68.0,1.0
2020,6,17,72.0,5050.0,69.0,1.0
2020,6,18,72.0,5122.0,69.0,1.0
2020,6,19,72.0,5175.0,69.0,1.0
2020,6,20,72.0,5175.0,69.0,1.0
2020,6,21,72.0,5175.0,69.0,1.0
2020,6,22,72.0,5317.0,69.0,1.0
2020,6,23,72.0,5351.0,70.0,1.0
2020,6,24,72.0,5401.0,71.0,1.0
2020,6,25,72.0,5447.0,71.0,1.0
2020,6,26,72.0,5495.0,71.0,1.0
2020,6,27,72.0,5495.0,71.0,1.0
2020,6,28,72.0,5495.0,71.0,1.0
2020,6,29,74.0,5606.0,71.0,1.0
2020,6,30,74.0,5655.0,71.0,1.0
2020,7,1,75.0,5711.0,72.0,1.0
2020,7,2,75.0,5756.0,72.0,1.0
2020,7,3,75.0,5815.0,72.0,1.0
2020,7,4,75.0,5815.0,72.0,1.0
2020,7,5,75.0,5815.0,72.0,1.0
2020,7,6,75.0,5966.0,73.0,1.0
2020,7,7,75.0,6012.0,74.0,1.0
2020,7,8,75.0,6061.0,74.0,1.0
2020,7,9,75.0,6095.0,74.0,1.0
2020,7,10,76.0,6139.0,74.0,1.0
2020,7,11,76.0,6139.0,74.0,1.0
2020,7,12,76.0,6139.0,74.0,1.0
2020,7,13,76.0,6249.0,74.0,1.0
2020,7,14,76.0,6289.0,74.0,1.0
2020,7,15,76.0,6341.0,74.0,1.0
2020,7,16,76.0,6387.0,74.0,1.0
2020,7,17,77.0,6427.0,74.0,1.0
2020,7,18,77.0,6427.0,74.0,1.0
2020,7,19,77.0,6427.0,74.0,1.0
2020,7,20,78.0,6569.0,75.0,1.0
